Estilo;OE (°P);AE (°P);RE (°P);ABV (%);pH;Haze (EBC);Color (EBC);IBU;CO2(g/L);Aparencia;Aroma;Off-Aroma;Sabor;Off-Sabor;Corpo;Score
Lager;15.4;4.2;2.4;5.2;4.17;12;24;16;4.5;3.6;4.1;0.2;4.5;0.3;4.0;82
Blond Ale;11.5;3.0;1.9;5.0;4.34;18;25;46;4.5;4.2;3.8;0.0;3.6;0.3;4.2;86
Amber Ale;11.6;3.9;2.0;4.7;4.15;22;22;60;4.4;4.4;3.7;0.1;3.9;0.2;3.9;85
Pale Ale;14.0;4.1;2.6;6.7;4.27;22;15;23;4.7;4.2;3.6;0.3;3.9;0.1;3.8;91
Brown Ale;12.7;3.3;2.2;6.8;4.16;22;21;27;4.4;4.5;3.5;0.0;4.0;0.3;3.9;95
Koelsch style;13.9;3.0;2.2;7.3;4.16;25;34;44;4.9;3.7;3.7;0.2;4.5;0.1;4.1;80
India Pale Ale;13.7;4.5;2.4;6.6;4.22;19;21;23;4.5;4.5;4.0;0.2;3.8;0.0;4.2;92
Porter/Stout;12.9;3.2;2.3;5.9;4.36;24;30;66;4.7;4.1;3.8;0.3;3.6;0.0;4.1;77
Stout;11.9;3.3;2.1;5.3;4.33;25;24;69;4.9;4.4;3.5;0.2;4.2;0.0;3.7;85
Porter;11.9;4.2;2.5;6.5;4.21;22;30;20;4.7;3.7;3.9;0.2;4.3;0.1;3.5;85
Gruit;14.0;3.1;2.3;5.0;4.54;17;34;39;4.7;4.2;4.3;0.2;3.5;0.2;4.1;89
Spicy Herbs Ale;11.6;3.7;2.3;7.4;4.24;25;29;15;4.5;4.3;3.9;0.1;3.7;0.3;3.7;76
Saison;15.1;3.1;1.9;5.2;4.29;18;30;18;4.6;3.8;3.8;0.2;4.4;0.2;3.5;82
Dubbel;11.3;4.1;2.5;4.8;4.5;14;22;60;4.9;4.1;3.5;0.1;4.0;0.3;4.4;78
Tripel;11.2;2.5;2.2;6.3;4.17;24;25;47;4.7;4.4;3.8;0.0;3.7;0.1;4.2;80
Quadrupel;15.3;4.3;2.4;6.5;4.23;21;29;67;4.6;3.6;4.0;0.1;3.9;0.3;4.2;77
Barleywine;15.7;3.0;2.6;6.8;4.42;25;18;42;4.8;4.3;3.6;0.1;4.2;0.3;3.7;86
Scotch Ale;15.4;4.3;2.1;4.7;4.27;11;15;64;4.6;3.7;4.4;0.1;4.3;0.1;4.1;87
Altbier;15.3;3.2;1.9;5.4;4.59;12;17;59;4.9;4.2;3.9;0.3;3.9;0.1;3.9;86
Cream Ale;13.2;3.1;1.9;6.6;4.51;17;25;65;4.8;3.6;4.1;0.0;3.5;0.0;3.8;93
Bitter;12.3;4.3;2.0;6.8;4.57;13;30;67;4.4;4.0;4.4;0.2;4.0;0.0;4.4;90
Mild Ale;11.7;3.8;2.4;6.1;4.5;10;24;35;5.0;4.1;4.1;0.3;4.5;0.2;3.7;87
California Common;15.7;2.9;2.5;5.6;4.44;13;19;21;5.0;3.7;4.1;0.1;4.1;0.1;4.4;85
Belgian Golden Strong Ale;12.8;2.7;1.8;6.0;4.23;15;34;16;4.6;3.8;3.6;0.3;3.5;0.0;3.9;87
American Wheat;11.1;4.4;2.0;5.8;4.31;17;30;49;4.8;4.5;4.1;0.3;3.7;0.2;4.0;83
Berliner Weisse;13.7;4.3;2.0;4.8;4.46;18;30;27;4.8;3.9;3.5;0.3;4.1;0.3;3.8;84
